index,timestamp,AirTemperature
375137,2022-11-01 00:00:33,19.5
375138,2022-11-01 00:01:33,19.52
375139,2022-11-01 00:02:33,19.5
375140,2022-11-01 00:03:33,19.52
375141,2022-11-01 00:04:33,19.52
375142,2022-11-01 00:05:33,19.52
375143,2022-11-01 00:06:34,19.47
375144,2022-11-01 00:07:34,19.52
375145,2022-11-01 00:08:34,19.54
375146,2022-11-01 00:09:34,19.5
375147,2022-11-01 00:10:34,19.49
375148,2022-11-01 00:11:34,19.47
375149,2022-11-01 00:12:34,19.52
375150,2022-11-01 00:13:34,19.5
375151,2022-11-01 00:14:34,19.5
375152,2022-11-01 00:15:34,19.5
375153,2022-11-01 00:16:34,19.46
375154,2022-11-01 00:17:34,19.52
375155,2022-11-01 00:18:34,19.49
375156,2022-11-01 00:19:34,19.46
375157,2022-11-01 00:20:34,19.46
375158,2022-11-01 00:21:34,19.49
375159,2022-11-01 00:22:34,19.47
375160,2022-11-01 00:23:34,19.5
375161,2022-11-01 00:24:34,19.47
375162,2022-11-01 00:25:34,19.47
375163,2022-11-01 00:26:34,19.44
375164,2022-11-01 00:27:34,19.49
375165,2022-11-01 00:28:34,19.46
375166,2022-11-01 00:29:34,19.47
375167,2022-11-01 00:30:34,19.49
375168,2022-11-01 00:31:35,19.43
375169,2022-11-01 00:32:35,19.46
375170,2022-11-01 00:33:35,19.44
375171,2022-11-01 00:34:35,19.44
375172,2022-11-01 00:35:35,19.43
375173,2022-11-01 00:36:35,19.46
375174,2022-11-01 00:37:35,19.44
375175,2022-11-01 00:38:35,19.44
375176,2022-11-01 00:39:35,19.47
375177,2022-11-01 00:40:35,19.44
375178,2022-11-01 00:41:35,19.43
375179,2022-11-01 00:42:35,19.44
375180,2022-11-01 00:43:35,19.46
375181,2022-11-01 00:44:35,19.44
375182,2022-11-01 00:45:35,19.44
375183,2022-11-01 00:46:35,19.43
375184,2022-11-01 00:47:35,19.44
375185,2022-11-01 00:48:35,19.44
375186,2022-11-01 00:49:35,19.46
375187,2022-11-01 00:50:35,19.42
375188,2022-11-01 00:51:35,19.42
375189,2022-11-01 00:52:35,19.43
375190,2022-11-01 00:53:35,19.44
375191,2022-11-01 00:54:35,19.42
375192,2022-11-01 00:55:35,19.4
375193,2022-11-01 00:56:36,19.42
375194,2022-11-01 00:57:36,19.43
375195,2022-11-01 00:58:36,19.4
375196,2022-11-01 00:59:36,19.4
375197,2022-11-01 01:00:36,19.42
375198,2022-11-01 01:01:36,19.4
375199,2022-11-01 01:02:36,19.42
375200,2022-11-01 01:03:36,19.42
375201,2022-11-01 01:04:36,19.42
375202,2022-11-01 01:05:36,19.4
375203,2022-11-01 01:06:36,19.4
375204,2022-11-01 01:07:36,19.43
375205,2022-11-01 01:08:36,19.42
375206,2022-11-01 01:09:36,19.4
375207,2022-11-01 01:10:36,19.39
375208,2022-11-01 01:11:36,19.4
375209,2022-11-01 01:12:36,19.4
375210,2022-11-01 01:13:36,19.42
375211,2022-11-01 01:14:36,19.39
375212,2022-11-01 01:15:36,19.37
375213,2022-11-01 01:16:36,19.4
375214,2022-11-01 01:17:36,19.39
375215,2022-11-01 01:18:36,19.43
375216,2022-11-01 01:19:36,19.42
375217,2022-11-01 01:20:36,19.36
375218,2022-11-01 01:21:38,19.36
375219,2022-11-01 01:22:38,19.39
375220,2022-11-01 01:23:38,19.42
375221,2022-11-01 01:24:38,19.39
375222,2022-11-01 01:25:38,19.4
375223,2022-11-01 01:26:38,19.39
375224,2022-11-01 01:27:38,19.4
375225,2022-11-01 01:28:38,19.42
375226,2022-11-01 01:29:38,19.39
375227,2022-11-01 01:30:38,19.39
375228,2022-11-01 01:31:38,19.36
375229,2022-11-01 01:32:38,19.37
375230,2022-11-01 01:33:38,19.39
375231,2022-11-01 01:34:38,19.4
375232,2022-11-01 01:35:38,19.37
375233,2022-11-01 01:36:38,19.37
375234,2022-11-01 01:37:38,19.37
375235,2022-11-01 01:38:38,19.37
375236,2022-11-01 01:39:38,19.37
375237,2022-11-01 01:40:38,19.36
375238,2022-11-01 01:41:38,19.37
375239,2022-11-01 01:42:38,19.37
375240,2022-11-01 01:43:38,19.37
375241,2022-11-01 01:44:38,19.36
375242,2022-11-01 01:45:38,19.37
375243,2022-11-01 01:46:39,19.35
375244,2022-11-01 01:47:39,19.39
375245,2022-11-01 01:48:39,19.36
375246,2022-11-01 01:49:39,19.36
375247,2022-11-01 01:50:39,19.37
375248,2022-11-01 01:51:39,19.36
375249,2022-11-01 01:52:39,19.36
375250,2022-11-01 01:53:39,19.36
375251,2022-11-01 01:54:39,19.39
375252,2022-11-01 01:55:39,19.37
375253,2022-11-01 01:56:39,19.32
375254,2022-11-01 01:57:39,19.36
375255,2022-11-01 01:58:39,19.37
375256,2022-11-01 01:59:39,19.37
375257,2022-11-01 02:00:39,19.35
